"Date","IN_p2d","SEAS_p2d","IN_p1d","IN","SEAS","WL_MM_1d","IN_1d","OUT_1d","MEAN_7d","SD_7d","Prec_S","Tmax_S","Tmin_S","Snow_S"
1946-01-01,0.0346871602522058,1,0.0500824253039422,0.0335426981378445,1,0.616827733947227,0.0296943557500488,0.118535005205319,0.0311069104297757,0.009838506967821,0,6.2,-7,0
1946-01-02,0.016560495782892,1,0.0346871602522058,0.0500824253039422,1,0.554559043348281,0.0335426981378445,0.119544060465655,0.0338756932143726,0.0106857272269054,0,6,-8.6,0
1946-01-03,0.0436090662682491,1,0.016560495782892,0.0346871602522058,1,0.54559043348281,0.0500824253039422,0.0985079081572278,0.034588951000395,0.0111019611519468,0,2.6,-10,0
1946-01-04,0.0436090662682491,1,0.0436090662682491,0.016560495782892,1,0.54559043348281,0.0346871602522058,0.0851913926045647,0.032425088130311,0.0115618889454991,0,3.2,-9,0
1946-01-05,0.0257652542361625,1,0.0436090662682491,0.0436090662682491,1,0.542600896860986,0.016560495782892,0.0846095294854831,0.0341253067581352,0.0115391850312314,0,4.4,-10.2,0
1946-01-06,0.0346871602522058,1,0.0257652542361625,0.0436090662682491,1,0.533632286995516,0.0436090662682491,0.0851913926045647,0.0359693239662045,0.0100581698458931,0,7.4,-8.4,0
1946-01-07,0.0252345604125702,1,0.0346871602522058,0.0257652542361625,1,0.533632286995516,0.0436090662682491,0.0851913926045647,0.035408023749935,0.00999370843178319,0,9.4,-7.4,0
1946-01-08,0.0307893400348579,1,0.0252345604125702,0.0346871602522058,1,0.533632286995516,0.0257652542361625,0.0851913926045647,0.0355715183377009,0.00784265007881973,0,10,-6.2,0
1946-01-09,0.0281358709168967,1,0.0307893400348579,0.0252345604125702,1,0.527653213751868,0.0346871602522058,0.0851913926045647,0.0320218233532192,0.00641794187379195,0,6.4,-6,0
1946-01-10,0.0341214553777515,1,0.0281358709168967,0.0307893400348579,1,0.524663677130045,0.0252345604125702,0.0840996885114344,0.0314649918935981,0.00406869993116623,0,5.4,-5.2,0
1946-01-11,0.0254824017989353,1,0.0341214553777515,0.0281358709168967,1,0.518684603886398,0.0307893400348579,0.0955265704167867,0.0331186169127416,0.00410939324120138,0,9.4,-5,0
1946-01-12,0.0254824017989353,1,0.0254824017989353,0.0341214553777515,1,0.51270553064275,0.0281358709168967,0.0900680499511349,0.0317632439283848,0.00345694155165055,0,8.4,-4.2,0
1946-01-13,0.0254824017989354,1,0.0254824017989353,0.0254824017989353,1,0.506726457399103,0.0341214553777515,0.0840276663664015,0.0291737204327686,0.00844608553309536,0,12,-1.8,0
1946-01-14,0.00763858976684872,1,0.0254824017989354,0.0254824017989353,1,0.503736920777279,0.0254824017989353,0.0846095294854831,0.0291333129417361,0.0106714147370126,0,6,-1.4,0
1946-01-15,0.0427955200074297,1,0.00763858976684872,0.0254824017989354,1,0.497757847533632,0.0254824017989353,0.0846095294854831,0.0278183474484118,0.0125197240397835,0,3.6,-10,0
1946-01-16,0.0442046380260045,1,0.0427955200074297,0.00763858976684872,1,0.491778774289985,0.0254824017989354,0.0846095294854831,0.0253046373561659,0.0178332609559772,0,2,-9.4,0
1946-01-17,0.0625791438816834,1,0.0442046380260045,0.0427955200074297,1,0.485799701046338,0.00763858976684872,0.0846095294854831,0.0270198059236761,0.0179673801697534,0,-1.4,-7,0
1946-01-18,0.0455838891612781,1,0.0625791438816834,0.0442046380260045,1,0.473841554559043,0.0427955200074297,0.0835178253923528,0.0293153440821201,0.0173537489171213,0,-0.8,-5,0
1946-01-19,0.0355655844471883,1,0.0455838891612781,0.0625791438816834,1,0.473841554559043,0.0442046380260045,0.104770044135878,0.0333807281541103,0.0166070572129354,0,3,-2,0
1946-01-20,0.0447703429004587,1,0.0355655844471883,0.0455838891612781,1,0.47085201793722,0.0625791438816834,0.105861748229009,0.0362523692058736,0.00816503209189307,0.127956989247312,7,0,1
1946-01-21,0.0447703429004587,1,0.0447703429004587,0.0355655844471883,1,0.473841554559043,0.0455838891612781,0.107607337586254,0.0376928238699097,0.00896718607491038,0.032258064516129,6.5,-6,1
1946-01-22,0.0358484368844155,1,0.0447703429004587,0.0447703429004587,1,0.47085201793722,0.0355655844471883,0.10535190725496,0.0404482440272702,0.0114327390637266,0,0.6,-4.6,0
1946-01-23,0.0260779735566907,1,0.0358484368844155,0.0447703429004587,1,0.464872944693572,0.0447703429004587,0.105933770374042,0.0457527801892145,0.00715456614739353,0.0021505376344086,1,-3.4,1
1946-01-24,0.0355655844471883,1,0.0260779735566907,0.0358484368844155,1,0.461883408071749,0.0447703429004587,0.105933770374042,0.0447603397430696,0.00644312389162505,0.0860215053763441,6,-2.2,1
1946-01-25,0.035034890623596,1,0.0355655844471883,0.0260779735566907,1,0.458893871449925,0.0358484368844155,0.105933770374042,0.0421708162474533,0.00652411844456325,0.0311827956989247,4,-10,1
1946-01-26,0.0339384919255495,1,0.035034890623596,0.0355655844471883,1,0.452914798206278,0.0260779735566907,0.104188181016797,0.0383117363282398,0.00545750594261222,0.0010752688172043,4,-2,1
1946-01-27,0.0366269720943728,1,0.0339384919255495,0.035034890623596,1,0.443946188340807,0.0355655844471883,0.10535190725496,0.0368047365371423,0.00431788482891735,0,6.4,-7.4,0
1946-01-28,0.0274222136411025,1,0.0366269720943728,0.0339384919255495,1,0.43796711509716,0.035034890623596,0.10426020316183,0.0365722947483368,0.00453782556012496,0,7.2,-8,0
1946-01-29,0.0274222136411024,1,0.0274222136411025,0.0366269720943728,1,0.431988041853513,0.0339384919255495,0.102004772830536,0.0354089560617531,0.00433061504870303,0,8.6,-6.4,0
1946-01-30,0.0271393612038752,1,0.0274222136411024,0.0274222136411025,1,0.426008968609865,0.0366269720943728,0.107535315441221,0.032930651881845,0.00444945480980033,0,8.4,-6.4,0
1946-01-31,0.0363441196571457,1,0.0271393612038752,0.0274222136411024,1,0.420029895366218,0.0274222136411025,0.106953452322139,0.0317269057042289,0.00967302963330838,0,8.4,-8.4,0
1946-02-01,0.00848200291096933,1,0.0363441196571457,0.0271393612038752,1,0.411061285500747,0.0274222136411024,0.106953452322139,0.0318785325109695,0.011494933003531,0,9,-7,0
1946-02-02,0.0449831732359619,1,0.00848200291096933,0.0363441196571457,1,0.402092675635277,0.0271393612038752,0.106371589203057,0.0319897518266777,0.0120394951747278,0,4,-6,0
1946-02-03,0.016237488127242,1,0.0449831732359619,0.00848200291096933,1,0.393124065769806,0.0363441196571457,0.106953452322139,0.0281964821534453,0.0126005461496663,0.010752688172043,9,-4,1
1946-02-04,0.0366269720943728,1,0.016237488127242,0.0449831732359619,1,0.387144992526158,0.00848200291096933,0.104698021990845,0.0297742937692185,0.0144941593339594,0,6.8,-5,0
1946-02-05,0.00933056022265065,1,0.0366269720943728,0.016237488127242,1,0.37219730941704,0.0449831732359619,0.106371589203057,0.0268615103453427,0.0149788504371686,0,12.4,-3,0
1946-02-06,0.0354955623454644,1,0.00933056022265065,0.0366269720943728,1,0.369207772795217,0.016237488127242,0.102298547369486,0.028176475838667,0.0149491197752925,0,14,-0.6,0
1946-02-07,0.0360612672199185,1,0.0354955623454644,0.00933056022265065,1,0.357249626307922,0.0366269720943728,0.107535315441221,0.0255919539217454,0.01781093060157,0,15.4,0.2,0
1946-02-08,0.0631098377052756,1,0.0360612672199185,0.0354955623454644,1,0.351270553064275,0.00933056022265065,0.10644361134809,0.0267856969419724,0.0189695028661595,0,12.8,-1.4,0
1946-02-09,0.0539400903028672,1,0.0631098377052756,0.0360612672199185,1,0.336322869955157,0.0354955623454644,0.105207862964894,0.0267452894509399,0.0187321117446492,0,8.2,-2.4,0
1946-02-10,0.0176517503133777,1,0.0539400903028672,0.0631098377052756,1,0.33034379671151,0.0360612672199185,0.106371589203057,0.0345492658501266,0.0190995280627128,0.0043010752688172,12.6,-0.4,1
1946-02-11,0.0260429625058288,1,0.0176517503133777,0.0539400903028672,1,0.324364723467862,0.0631098377052756,0.106953452322139,0.035828825431113,0.0162634727525764,0,13,-3.5,0
1946-02-12,0.0260079514549667,1,0.0260429625058288,0.0176517503133777,1,0.327354260089686,0.0539400903028672,0.10644361134809,0.0360308628862753,0.0162780932663254,0,16.2,-2,0
1946-02-13,0.034682016084645,1,0.0260079514549667,0.0260429625058288,1,0.327354260089686,0.0176517503133777,0.105207862964894,0.0345188615164832,0.01630099906843,0,12,5,0
