"Method","MAE","RMSE","NSE"
"MISO1",32.5704377095883,59.114978651425,0.749771823831225
"MISO2",36.3562061491085,64.8940405333749,0.698563895520024
"MISO3",39.6723507571302,70.7732493013661,0.641442760567851
