,IN_p3d,IN_p2d,IN_p1d,IN,MEAN_7d,SD_7d,Prec_S,Prec_S_f1d,Prec_S_f2d,Prec_S_f3d,Snow_S
0,0.016560495782892,0.0346871602522058,0.0500824253039422,0.0335426981378445,0.0311069104297757,0.009838506967820999,0.0,0.0,0.0,0.0,0
1,0.0436090662682491,0.016560495782892,0.0346871602522058,0.0500824253039422,0.0338756932143726,0.0106857272269054,0.0,0.0,0.0,0.0,0
2,0.0436090662682491,0.0436090662682491,0.016560495782892,0.0346871602522058,0.034588951000394996,0.0111019611519468,0.0,0.0,0.0,0.0,0
3,0.0257652542361625,0.0436090662682491,0.0436090662682491,0.016560495782892,0.032425088130311,0.0115618889454991,0.0,0.0,0.0,0.0,0
4,0.0346871602522058,0.0257652542361625,0.0436090662682491,0.0436090662682491,0.0341253067581352,0.0115391850312314,0.0,0.0,0.0,0.0,0
5,0.0252345604125702,0.0346871602522058,0.0257652542361625,0.0436090662682491,0.0359693239662045,0.0100581698458931,0.0,0.0,0.0,0.0,0
6,0.0307893400348579,0.0252345604125702,0.0346871602522058,0.0257652542361625,0.035408023749935,0.009993708431783191,0.0,0.0,0.0,0.0,0
7,0.0281358709168967,0.0307893400348579,0.0252345604125702,0.0346871602522058,0.0355715183377009,0.00784265007881973,0.0,0.0,0.0,0.0,0
8,0.0341214553777515,0.0281358709168967,0.0307893400348579,0.0252345604125702,0.0320218233532192,0.00641794187379195,0.0,0.0,0.0,0.0,0
9,0.0254824017989353,0.0341214553777515,0.0281358709168967,0.0307893400348579,0.0314649918935981,0.0040686999311662295,0.0,0.0,0.0,0.0,0
10,0.0254824017989353,0.0254824017989353,0.0341214553777515,0.0281358709168967,0.0331186169127416,0.004109393241201379,0.0,0.0,0.0,0.0,0
11,0.0254824017989354,0.0254824017989353,0.0254824017989353,0.0341214553777515,0.0317632439283848,0.00345694155165055,0.0,0.0,0.0,0.0,0
12,0.00763858976684872,0.0254824017989354,0.0254824017989353,0.0254824017989353,0.0291737204327686,0.008446085533095359,0.0,0.0,0.0,0.0,0
13,0.0427955200074297,0.00763858976684872,0.0254824017989354,0.0254824017989353,0.0291333129417361,0.0106714147370126,0.0,0.0,0.0,0.0,0
14,0.0442046380260045,0.0427955200074297,0.00763858976684872,0.0254824017989354,0.0278183474484118,0.0125197240397835,0.0,0.0,0.0,0.0,0
15,0.0625791438816834,0.0442046380260045,0.0427955200074297,0.00763858976684872,0.0253046373561659,0.0178332609559772,0.0,0.0,0.0,0.0,0
16,0.0455838891612781,0.0625791438816834,0.0442046380260045,0.0427955200074297,0.0270198059236761,0.0179673801697534,0.0,0.0,0.0,0.13766816408271465,0
17,0.0355655844471883,0.0455838891612781,0.0625791438816834,0.0442046380260045,0.0293153440821201,0.0173537489171213,0.0,0.0,0.1211967331716653,0.033350945149091996,0
18,0.0447703429004587,0.0355655844471883,0.0455838891612781,0.0625791438816834,0.0333807281541103,0.0166070572129354,0.0,0.12915990450130674,0.032065089053461816,0.0,0
19,0.0447703429004587,0.0447703429004587,0.0355655844471883,0.0455838891612781,0.0362523692058736,0.00816503209189307,0.127956989247312,0.034425921536348866,0.0,0.002175371633277815,1
20,0.0358484368844155,0.0447703429004587,0.0447703429004587,0.0355655844471883,0.0376928238699097,0.00896718607491038,0.032258064516129,0.0,0.0021200672200795373,0.0853312043068139,1
21,0.0260779735566907,0.0358484368844155,0.0447703429004587,0.0447703429004587,0.0404482440272702,0.0114327390637266,0.0,0.0021266958733282396,0.08153450447367903,0.03242693863120982,0
22,0.0355655844471883,0.0260779735566907,0.0358484368844155,0.0447703429004587,0.0457527801892145,0.00715456614739353,0.0021505376344086,0.08877971165067376,0.03339750409099047,0.00099884935000588,1
23,0.035034890623596,0.0355655844471883,0.0260779735566907,0.0358484368844155,0.0447603397430696,0.00644312389162505,0.0860215053763441,0.03234326879294779,0.0010207914360339887,0.0,1
24,0.0339384919255495,0.035034890623596,0.0355655844471883,0.0260779735566907,0.0421708162474533,0.00652411844456325,0.031182795698924695,0.0010567061342447912,0.0,0.0,1
25,0.0366269720943728,0.0339384919255495,0.035034890623596,0.0355655844471883,0.0383117363282398,0.0054575059426122206,0.0010752688172043,0.0,0.0,0.0,1
26,0.0274222136411025,0.0366269720943728,0.0339384919255495,0.035034890623596,0.0368047365371423,0.00431788482891735,0.0,0.0,0.0,0.0,0
27,0.0274222136411024,0.0274222136411025,0.0366269720943728,0.0339384919255495,0.0365722947483368,0.00453782556012496,0.0,0.0,0.0,0.0,0
28,0.0271393612038752,0.0274222136411024,0.0274222136411025,0.0366269720943728,0.0354089560617531,0.00433061504870303,0.0,0.0,0.0,0.0,0
29,0.0363441196571457,0.0271393612038752,0.0274222136411024,0.0274222136411025,0.032930651881845005,0.0044494548098003295,0.0,0.0,0.0,0.0,0
30,0.00848200291096933,0.0363441196571457,0.0271393612038752,0.0274222136411024,0.0317269057042289,0.00967302963330838,0.0,0.0,0.0,0.011079585430234852,0
31,0.0449831732359619,0.00848200291096933,0.0363441196571457,0.0271393612038752,0.0318785325109695,0.011494933003531,0.0,0.0,0.01019595177117676,0.0,0
32,0.016237488127242,0.0449831732359619,0.00848200291096933,0.0363441196571457,0.0319897518266777,0.0120394951747278,0.0,0.010561257733139887,0.0,0.0,0
33,0.0366269720943728,0.016237488127242,0.0449831732359619,0.00848200291096933,0.0281964821534453,0.0126005461496663,0.010752688172043001,0.0,0.0,0.0,1
34,0.00933056022265065,0.0366269720943728,0.016237488127242,0.0449831732359619,0.0297742937692185,0.0144941593339594,0.0,0.0,0.0,0.0,0
35,0.0354955623454644,0.00933056022265065,0.0366269720943728,0.016237488127242,0.0268615103453427,0.0149788504371686,0.0,0.0,0.0,0.0,0
36,0.0360612672199185,0.0354955623454644,0.00933056022265065,0.0366269720943728,0.028176475838667007,0.0149491197752925,0.0,0.0,0.0,0.0,0
37,0.0631098377052756,0.0360612672199185,0.0354955623454644,0.00933056022265065,0.0255919539217454,0.017810930601569998,0.0,0.0,0.0,0.004636127120618727,0
38,0.0539400903028672,0.0631098377052756,0.0360612672199185,0.0354955623454644,0.0267856969419724,0.0189695028661595,0.0,0.0,0.004410968910342989,0.0,0
39,0.0176517503133777,0.0539400903028672,0.0631098377052756,0.0360612672199185,0.0267452894509399,0.0187321117446492,0.0,0.004483084157768396,0.0,0.0,0
40,0.0260429625058288,0.0176517503133777,0.0539400903028672,0.0631098377052756,0.0345492658501266,0.0190995280627128,0.0043010752688172,0.0,0.0,0.0,1
41,0.0260079514549667,0.0260429625058288,0.0176517503133777,0.0539400903028672,0.035828825431113,0.0162634727525764,0.0,0.0,0.0,0.0,0
42,0.034682016084644995,0.0260079514549667,0.0260429625058288,0.0176517503133777,0.0360308628862753,0.0162780932663254,0.0,0.0,0.0,0.0,0
43,0.0344691857491418,0.034682016084644995,0.0260079514549667,0.0260429625058288,0.0345188615164832,0.01630099906843,0.0,0.0,0.0,0.0,0
44,0.0339384919255495,0.0344691857491418,0.034682016084644995,0.0260079514549667,0.0369013459782427,0.0113623061184001,0.0,0.0,0.0,0.0,0
45,0.0333727870510953,0.0339384919255495,0.0344691857491418,0.034682016084644995,0.0367851250838399,0.006464715790113001,0.0,0.0,0.0,0.0,0
46,0.0227887774625512,0.0333727870510953,0.0339384919255495,0.0344691857491418,0.03655768487372899,0.00503548075729362,0.0,0.0,0.0,0.0,0
47,0.0133711886737777,0.0227887774625512,0.0333727870510953,0.0339384919255495,0.0323903497623395,0.00811142220218745,0.0,0.0,0.0,0.0,0
48,0.0312850228075882,0.0133711886737777,0.0227887774625512,0.0333727870510953,0.029452163583514997,0.00809989695097585,0.0,0.0,0.0,0.0,0
49,0.0213017291443604,0.0312850228075882,0.0133711886737777,0.0227887774625512,0.0301860246048255,0.00814985931861583,0.0,0.0,0.0,0.0,0
50,0.0380841535292625,0.0213017291443604,0.0312850228075882,0.0133711886737777,0.0283757712002467,0.00877635802936813,0.0,0.0,0.0,0.0,0
51,0.0375884707565322,0.0380841535292625,0.0213017291443604,0.0312850228075882,0.0291296385363355,0.00929923038691787,0.0,0.0,0.0,0.0,0
52,0.0271795164222981,0.0375884707565322,0.0380841535292625,0.0213017291443604,0.0272181689734377,0.00902175275356776,0.0,0.0,0.0,0.0,0
53,0.0336230085746901,0.0271795164222981,0.0375884707565322,0.0380841535292625,0.0277345929420264,0.00903390445719189,0.0,0.0,0.0,0.0,0
54,0.058090896074141,0.0336230085746901,0.0271795164222981,0.0375884707565322,0.0282560184893096,0.0116421600050404,0.0,0.0,0.0,0.0,0
55,0.0335179754221041,0.058090896074141,0.0336230085746901,0.0271795164222981,0.0273712655423386,0.0115437495822182,0.0,0.0,0.0,0.06066846821574665,0
56,0.0412384495875149,0.0335179754221041,0.058090896074141,0.0336230085746901,0.0289190128440727,0.00973875924056873,0.0,0.0,0.06190069513706392,0.0010791301628414695,0
57,0.0696662712081456,0.0412384495875149,0.0335179754221041,0.058090896074141,0.0353075424726961,0.0152716296418252,0.0,0.059288590231463954,0.0010669750512418974,0.054522917250397956,0
58,0.0663074369053837,0.0696662712081456,0.0412384495875149,0.0335179754221041,0.0356265357033412,0.0173024339284722,0.06021505376344089,0.0010734017805324335,0.054338458535273346,0.009441788679209915,1
59,0.0258596151605252,0.0663074369053837,0.0696662712081456,0.0412384495875149,0.0384746386237919,0.0175608271225699,0.0010752688172043,0.05342677602875401,0.00935155164752296,0.04575401290513087,1
60,0.0567737588426993,0.0258596151605252,0.0663074369053837,0.0696662712081456,0.0429863697207752,0.0168073348358991,0.0537634408602151,0.009507250574960322,0.04573619764817153,0.005216858487043474,1
61,0.0550066221176125,0.0567737588426993,0.0258596151605252,0.0663074369053837,0.0470890791706111,0.0166054477938385,0.00967741935483871,0.048333398499649016,0.0050684604412115815,0.0,1
62,0.0457668526134801,0.0550066221176125,0.0567737588426993,0.0258596151605252,0.0469005218475007,0.0151930808574308,0.0473118279569893,0.00551760924425165,0.0,0.0,1
63,0.037127799034664004,0.0457668526134801,0.0550066221176125,0.0567737588426993,0.0502077718857877,0.0157266484451357,0.00537634408602151,0.0,0.0,0.033296844379584196,1
64,0.0452011477390259,0.037127799034664004,0.0457668526134801,0.0550066221176125,0.0497671613205693,0.01341776923122,0.0,0.0,0.03307076562231591,0.004113941773919272,0
65,0.0365620941602097,0.0452011477390259,0.037127799034664004,0.0457668526134801,0.0515170009193373,0.0109228922828784,0.0,0.03398542814875369,0.0042440958366091585,0.0,0
66,0.0725325706616101,0.0365620941602097,0.0452011477390259,0.037127799034664004,0.0509297651260729,0.0126868363330799,0.0333333333333333,0.004516210310681491,0.0,0.002176681682745799,1
67,0.0557851573275699,0.0725325706616101,0.0365620941602097,0.0452011477390259,0.0474347474876272,0.0126021745592285,0.0043010752688172,0.0,0.002145723971383362,0.01321653512366919,1
68,0.0487059381989998,0.0557851573275699,0.0725325706616101,0.0365620941602097,0.0431854128097452,0.0123840863330103,0.0,0.0022230130858223443,0.012894260686039981,0.0,0
69,0.0645618749726044,0.0487059381989998,0.0557851573275699,0.0725325706616101,0.0498529778813288,0.0135924465177957,0.0021505376344086,0.013027763975573117,0.0,0.08019431516082685,1
70,0.0473537899166961,0.0645618749726044,0.0487059381989998,0.0557851573275699,0.0497117490934532,0.0122765917730073,0.0129032258064516,0.0,0.07711471943556104,0.05252737233399488,1
71,0.0560628655972362,0.0473537899166961,0.0645618749726044,0.0487059381989998,0.0488116513907942,0.011810422353543997,0.0,0.08509587155846728,0.05114859182603711,0.0,0
72,0.0376883597415573,0.0560628655972362,0.0473537899166961,0.0645618749726044,0.0514966545849548,0.0115295080881187,0.0838709677419355,0.05274121711336279,0.0,0.0,1
73,0.0819394872221603,0.0376883597415573,0.0560628655972362,0.0473537899166961,0.0529575104252451,0.0141979335813665,0.0516129032258065,0.0,0.0,0.0,1
74,0.0505430970258105,0.0819394872221603,0.0376883597415573,0.0560628655972362,0.0545091844049895,0.014349447895722,0.0,0.0,0.0,0.0,0
