"Network","RMSE","MAE","NSE"
"MISO1",59.2557085371871,34.3270578866734,0.748579012817931
"MISO2",62.2317934906032,37.7187337380131,0.722789119756562
"MISO3",68.5471519944179,41.2795199409434,0.663644095372919
