Network,MAE,MSE,NSE
MISO1,34.29783545132341,61.24822707885662,0.7321936478468596
MISO2,37.925929040968846,63.075652054283424,0.7151760192852261
MISO3,39.09727232134552,65.67164985259613,0.6909667354792718
