"Method","MAE","MSE","NSE"
"MISO1",34.0495506269187,58.5668382445976,0.754390763811975
"MISO2",37.4497705676115,64.6254761703513,0.701053722886884
"MISO3",41.0204277318772,70.0069644187734,0.649165157189917
