"Network","MAE","MSE","NSE"
"MISO1",37.4958770294152,64.7652518621106,0.699651647627166
"MISO2",43.2356697760791,70.8298146996694,0.64089797967591
"MISO3",48.9078937623372,76.6497390442733,0.579426808119815
