Network;MAE;MSE;NSE
MISO1;27,24016390538936;41,99448860305011;0,841022669649607
MISO2;29,437923536557626;45,88118040710982;0,8103605762038462
MISO3;28,470292236175524;42,617559075321324;0,8364762806687631
